MsgID.GLOBAL_POSITION,1525560446.4038584,-122.3957518,37.7932819,0.0820000
MsgID.LOCAL_VELOCITY,1525560446.4038584,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1525560446.4041109,0.0437846,0.0112318,-0.0825000
MsgID.LOCAL_VELOCITY,1525560446.4041109,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1525560446.4044471,False,False
MsgID.GLOBAL_HOME,1525560446.4050221,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1525560446.4051900,-122.3957513,37.7932824,0.0820000
MsgID.LOCAL_VELOCITY,1525560446.4051900,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1525560446.4053752,0.1047991,0.0549626,-0.0825000
MsgID.LOCAL_VELOCITY,1525560446.4053752,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1525560446.4055519,-122.3957535,37.7932835,0.0820000
MsgID.LOCAL_VELOCITY,1525560446.4055519,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1525560446.4057283,0.2258645,-0.1443920,-0.0824985
MsgID.LOCAL_VELOCITY,1525560446.4057283,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1525560446.4059021,-122.3957513,37.7932829,0.0820000
MsgID.LOCAL_VELOCITY,1525560446.4059021,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1525560446.4060721,0.1574447,0.0567735,-0.0824777
MsgID.LOCAL_VELOCITY,1525560446.4060721,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1525560446.4062576,-122.3957499,37.7932818,0.0820000
MsgID.LOCAL_VELOCITY,1525560446.4062576,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1525560446.4064426,0.0352993,0.1737475,-0.0824125
MsgID.LOCAL_VELOCITY,1525560446.4064426,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1525560446.4067132,False,False
MsgID.GLOBAL_HOME,1525560446.4070959,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1525560446.4072564,-122.3957506,37.7932825,0.0820000
MsgID.LOCAL_VELOCITY,1525560446.4072564,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1525560446.4074385,0.1117841,0.1170300,-0.0823087
MsgID.LOCAL_VELOCITY,1525560446.4074385,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1525560446.4076307,-122.3957519,37.7932821,0.0820000
MsgID.LOCAL_VELOCITY,1525560446.4076307,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1525560446.4078159,0.0673458,-0.0015997,-0.0822097
MsgID.LOCAL_VELOCITY,1525560446.4078159,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1525560446.4079998,-122.3957530,37.7932819,0.0820000
MsgID.LOCAL_VELOCITY,1525560446.4079998,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1525560446.4081688,0.0430732,-0.1030827,-0.0821752
MsgID.LOCAL_VELOCITY,1525560446.4081688,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1525560446.5079637,-122.3957542,37.7932811,0.1270000
MsgID.LOCAL_VELOCITY,1525560446.5079637,0.0000000,0.0000000,-0.9000000
MsgID.LOCAL_POSITION,1525560446.5121944,-0.0516694,-0.2012440,-0.1304626
MsgID.LOCAL_VELOCITY,1525560446.5121944,0.0000895,0.0001128,-0.9306276
MsgID.STATE,1525560446.7372358,True,True
MsgID.GLOBAL_HOME,1525560446.7394962,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1525560446.7823765,-122.3957528,37.7932812,0.6270000
MsgID.LOCAL_VELOCITY,1525560446.7823765,0.0000000,0.0000000,-3.0500000
MsgID.LOCAL_POSITION,1525560446.7826207,-0.0314390,-0.0724319,-0.6385954
MsgID.LOCAL_VELOCITY,1525560446.7826207,0.0070456,0.0026307,-3.0783532
MsgID.GLOBAL_POSITION,1525560447.0097699,-122.3957506,37.7932831,1.5480000
MsgID.LOCAL_VELOCITY,1525560447.0097699,0.0000000,-0.0100000,-4.0900000
MsgID.LOCAL_POSITION,1525560447.0119035,0.1734259,0.1128494,-1.5632504
MsgID.LOCAL_VELOCITY,1525560447.0119035,0.0089280,-0.0133278,-4.1018167
MsgID.GLOBAL_POSITION,1525560447.2580523,-122.3957530,37.7932820,2.6140000
MsgID.LOCAL_VELOCITY,1525560447.2580523,-0.0100000,-0.0300000,-4.3100000
MsgID.LOCAL_POSITION,1525560447.2622399,0.0514422,-0.1028551,-2.6299500
MsgID.LOCAL_VELOCITY,1525560447.2622399,-0.0115333,-0.0326315,-4.2988105
MsgID.GLOBAL_POSITION,1525560447.5093732,-122.3957527,37.7932826,3.3860000
MsgID.LOCAL_VELOCITY,1525560447.5093732,-0.0100000,-0.0300000,-1.7800000
MsgID.LOCAL_POSITION,1525560447.5114872,0.1277653,-0.0717179,-3.3917358
MsgID.LOCAL_VELOCITY,1525560447.5114872,-0.0113683,-0.0308182,-1.7512372
MsgID.STATE,1525560447.7388134,True,True
MsgID.GLOBAL_HOME,1525560447.7408764,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1525560447.7823296,-122.3957503,37.7932834,3.5200000
MsgID.LOCAL_VELOCITY,1525560447.7823296,0.0000000,-0.0200000,0.6800000
MsgID.LOCAL_POSITION,1525560447.7824883,0.2141648,0.1393610,-3.5184174
